shift_down,T_down,T_up,shift_up,h_down,h_up,a_down,a_up,n_down,n_up,k_down,k_up,s_down,s_up, _down, _up,4_down,4_up, _down, _up,f_down,f_up,i_down,i_up,s_down,s_up,h_down,h_up
0,188,344,281,328,438,1000,1094,1266,1360,1891,1969,2016,2125,2328,2485,2516,2594,2750,2860,2906,2969,3141,3250,3328,3422,3422,3547
0,203,344,313,375,500,641,781,1156,1281,1453,1547,1594,1672,2078,2219,2235,2328,2453,2563,2625,2703,2844,2922,2985,3078,3094,3172
0,219,328,313,360,469,547,641,625,719,813,907,1000,1078,1297,1407,1516,1610,1703,1797,1953,2032,2141,2219,2282,2360,2391,2453
0,235,344,360,360,438,532,641,610,704,797,875,1032,1125,1547,1657,1719,1797,1922,2032,2079,2141,2297,2375,2407,2500,2547,2610
0,203,344,297,313,391,610,735,750,828,1375,1438,1469,1563,1703,1844,1938,2000,2110,2219,2360,2438,2578,2657,2719,2797,2828,2891
0,172,281,250,266,328,1281,1360,1360,1438,1563,1672,1766,1844,2063,2172,2313,2391,2469,2563,2688,2750,2906,2985,3063,3141,3188,3250
0,172,265,218,297,359,484,578,609,672,828,890,937,1015,1234,1359,1953,2047,3156,3281,3422,3484,3578,3656,3718,3797,3812,3875
0,187,343,281,312,406,859,937,968,1062,1203,1281,1312,1406,1687,1812,1937,2047,2125,2218,2359,2437,2547,2625,2672,2765,2812,2890
0,203,328,281,297,390,484,578,562,640,750,844,953,1031,1437,1547,1656,1734,1797,1922,2047,2125,2219,2328,2344,2437,2500,2562
0,219,312,265,328,390,515,625,609,687,828,906,984,1062,1594,1703,1890,1969,2094,2187,2250,2328,2422,2484,2515,2578,2656,2719
0,187,312,281,297,375,453,547,562,656,1156,1250,1265,1359,1469,1578,1672,1734,1859,1969,2140,2219,2344,2406,2515,2594,2640,2703
0,172,297,250,281,344,547,656,641,719,859,938,1031,1109,1500,1625,1875,1953,2063,2141,2406,2469,2594,2656,2672,2766,2844,2922
0,188,328,266,375,438,531,625,625,703,985,1078,1219,1297,1688,1797,2188,2266,2438,2547,2891,2969,3078,3141,3172,3266,3328,3391
0,188,297,250,328,406,485,563,594,672,1219,1313,1360,1438,1735,1860,2203,2281,2406,2516,2578,2641,2781,2844,2860,2938,3047,3110
0,156,297,250,281,359,422,547,531,625,1484,1563,1594,1672,1766,1859,2203,2266,2375,2484,2594,2672,2781,2844,2875,2969,3031,3094
0,203,343,265,328,422,484,562,593,672,906,1000,1078,1156,1875,2000,2000,2093,2297,2406,2500,2578,2734,2828,2890,2968,2984,3047
0,172,297,250,281,375,500,578,594,687,844,937,1000,1078,1875,1984,2062,2125,2234,2344,2375,2437,2562,2625,2672,2750,2828,2890
0,219,344,250,297,359,562,656,625,750,906,1000,1047,1125,1641,1750,1812,1891,2016,2125,2141,2219,2312,2375,2406,2500,2562,2625
0,188,328,250,281,375,469,563,578,641,766,859,922,984,1625,1734,1813,1906,2094,2219,2250,2328,2422,2484,2500,2594,2656,2734
0,188,313,282,297,375,579,672,657,766,1313,1407,1407,1516,1735,1844,2172,2235,2360,2469,2625,2704,2829,2891,2922,3000,3063,3141
0,140,312,234,296,375,734,828,875,968,1468,1546,1578,1656,1828,1937,2031,2093,2421,2515,2718,2812,2875,2937,3000,3078,3125,3203
0,172,297,282,329,391,485,579,1313,1391,1485,1610,1625,1719,1860,1969,2063,2141,2454,2563,2594,2672,2860,2922,2954,3047,3094,3172
0,188,328,266,313,391,516,641,656,735,1235,1313,1344,1438,1750,1891,1953,2047,2172,2297,2641,2688,2844,2922,2938,3000,3078,3141
0,187,312,250,265,359,515,609,578,671,843,937,1000,1046,1390,1531,1921,2015,2125,2250,2312,2406,2546,2593,2625,2718,2796,2875
0,188,313,266,328,391,531,625,594,703,1188,1266,1297,1391,1516,1641,1875,1953,2078,2188,2735,2797,2922,3000,3031,3110,3203,3281
0,204,329,250,313,375,485,563,579,657,735,813,860,938,1266,1391,1829,1907,2063,2172,2375,2407,2516,2579,2657,2735,2797,2875
0,172,297,250,297,375,484,578,562,656,750,812,953,1031,1312,1422,1531,1625,2031,2140,2156,2234,2328,2390,2422,2500,2594,2656
0,187,312,234,328,421,531,625,640,734,953,1031,1062,1140,1578,1718,1843,1937,2078,2187,2203,2250,2406,2515,2562,2640,2671,2750
0,125,297,203,234,328,531,640,1125,1203,1297,1390,1437,1515,1609,1719,1781,1875,1984,2109,2125,2203,2312,2390,2453,2562,2547,2625
0,156,313,250,313,391,500,609,547,641,766,891,938,1031,1328,1453,1594,1688,1797,1922,1938,2031,2141,2219,2297,2391,2406,2469
0,203,359,281,328,422,1313,1391,1438,1531,1734,1797,1922,2016,2219,2344,2359,2438,2563,2672,2688,2750,2859,2953,2984,3078,3109,3188
0,172,297,234,563,641,703,813,828,938,1344,1438,1484,1609,1859,1984,2109,2172,2266,2406,2484,2578,2641,2734,2797,2875,2891,2984
0,156,296,203,312,390,468,578,546,640,781,890,921,1031,1281,1390,1593,1671,1781,1906,1937,2015,2140,2218,2234,2343,2390,2468
0,187,328,203,328,406,890,984,1000,1078,1219,1312,1344,1437,2047,2172,2375,2469,2562,2672,2687,2765,2922,3000,3062,3156,3156,3250
0,235,375,313,375,453,532,641,625,703,1032,1110,1235,1344,1610,1735,1766,1860,1985,2078,2094,2157,2235,2313,2360,2453,2516,2578
